Command line:
-------------
/home/aboyce/anaconda3/envs/env3.12/bin/obspyDMT --datapath e2008 --data_source IRIS --event_catalog GCMT_COMBO --net II --cha LH? --loc e2008 Lei_stuff LOG_FILES run_obspy_slurm_batch slurm-6581931.out --sta e2008 Lei_stuff LOG_FILES run_obspy_slurm_batch slurm-6581931.out --preset 60 --offset 7200 --min_mag 5.5 --max_mag 7.5 --min_date=2008-01-01T00:00:00 --max_date=2008-12-31T00:00:00 --waveform_format sac --response True --pre_process=False --req_parallel --req_np 4 --parallel_process --process_np 4 

#N   LAT       LON       DEP  DATETIME             MAG   AUTH  EV_ID              FLY  
--------------------------------------------------------------------------------
156     0.180   -17.370  21   2008-08-28T15:22:30  6.28  None  20080828_152230.a  NAN
157    49.770  -130.140  12   2008-08-28T12:37:35  5.89  None  20080828_123735.a  NAN
158    32.230    47.360  12   2008-08-27T21:52:43  5.78  None  20080827_215243.a  NAN
159   -10.570    41.420  29   2008-08-27T06:46:23  5.75  None  20080827_064623.a  NAN
160    51.760   104.020  24   2008-08-27T01:35:38  6.29  None  20080827_013538.a  NAN
161    -7.760   -74.490  158  2008-08-26T21:00:40  6.38  None  20080826_210040.a  NAN
162    -6.570   104.490  38   2008-08-26T03:07:34  5.68  None  20080826_030734.a  NAN
163    30.610    83.510  17   2008-08-25T13:22:08  6.7   None  20080825_132208.a  NAN
164    10.300   125.270  12   2008-08-25T02:43:08  5.84  None  20080825_024308.a  NAN
165   -17.710    65.420  16   2008-08-22T07:47:44  6.01  None  20080822_074744.a  NAN
166    24.920    97.990  18   2008-08-21T12:24:35  6.01  None  20080821_122435.a  NAN
167   -14.850  -173.230  12   2008-08-19T16:30:20  5.98  None  20080819_163020.a  NAN
168   -14.830  -173.170  13   2008-08-19T13:37:34  5.59  None  20080819_133734.a  NAN
169   -28.650  -112.790  13   2008-08-19T10:58:06  5.67  None  20080819_105806.a  NAN
170   -52.920    -4.100  15   2008-08-17T15:39:12  5.61  None  20080817_153912.a  NAN
171    52.160    98.310  28   2008-08-16T04:01:11  5.71  None  20080816_040111.a  NAN
172    13.070   124.370  15   2008-08-15T10:25:19  5.99  None  20080815_102519.a  NAN
173     7.260   -82.790  22   2008-08-14T22:55:52  5.53  None  20080814_225552.a  NAN
174    83.480   114.730  12   2008-08-13T18:30:59  5.69  None  20080813_183059.a  NAN
175   -13.520  -111.310  16   2008-08-13T01:32:51  5.72  None  20080813_013251.a  NAN
176   -11.490   165.990  47   2008-08-12T05:26:01  5.8   None  20080812_052601.a  NAN
177    -0.750   -21.750  24   2008-08-11T23:38:44  6.01  None  20080811_233844.a  NAN
178    11.120    91.840  12   2008-08-10T12:21:19  5.68  None  20080810_122119.a  NAN
179    10.960    91.830  16   2008-08-10T08:20:37  6.15  None  20080810_082037.a  NAN
180   -60.830   153.590  12   2008-08-09T16:36:46  6.31  None  20080809_163646.a  NAN
181   -60.540   153.380  16   2008-08-09T06:02:03  6.42  None  20080809_060203.a  NAN
182    -4.290   100.750  16   2008-08-08T06:37:43  5.8   None  20080808_063743.a  NAN
183    -9.120  -109.720  19   2008-08-07T22:58:37  5.57  None  20080807_225837.a  NAN
184    52.220  -175.630  12   2008-08-07T18:30:08  5.84  None  20080807_183008.a  NAN
185    -8.140   117.730  27   2008-08-06T22:41:06  5.93  None  20080806_224106.a  NAN
186    32.690   105.570  12   2008-08-05T09:49:20  5.96  None  20080805_094920.a  NAN
187    -5.930   130.470  174  2008-08-04T20:45:19  6.25  None  20080804_204519.a  NAN
188    49.770   156.700  90   2008-08-04T04:42:18  5.73  None  20080804_044218.a  NAN
189    13.560   120.770  136  2008-08-01T10:35:24  5.56  None  20080801_103524.a  NAN
190    32.040   104.720  21   2008-08-01T08:32:47  5.68  None  20080801_083247.a  NAN
191   -60.040   -27.460  145  2008-07-30T20:15:16  5.54  None  20080730_201516.a  NAN
192   -54.760  -118.950  15   2008-07-29T20:56:28  5.71  None  20080729_205628.a  NAN
193   -10.500   163.430  17   2008-07-28T21:40:49  5.96  None  20080728_214049.a  NAN
194   -10.500   163.370  18   2008-07-28T21:37:36  5.9   None  20080728_213736.a  NAN
195    -0.010   -18.160  23   2008-07-27T21:15:47  5.87  None  20080727_211547.a  NAN
196    51.120   178.950  22   2008-07-25T00:29:26  5.86  None  20080725_002926.a  NAN
197    32.820   105.550  13   2008-07-24T07:09:31  5.57  None  20080724_070931.a  NAN
198    50.710   158.150  42   2008-07-24T01:43:22  6.21  None  20080724_014322.a  NAN
199    39.730   141.510  99   2008-07-23T15:26:24  6.79  None  20080723_152624.a  NAN
200    37.160   142.300  30   2008-07-21T11:30:34  5.91  None  20080721_113034.a  NAN
201    27.810   139.600  486  2008-07-20T21:30:31  5.83  None  20080720_213031.a  NAN
202    -3.800   150.980  12   2008-07-20T21:13:39  5.52  None  20080720_211339.a  NAN
203   -17.220  -177.050  395  2008-07-19T22:39:56  6.41  None  20080719_223956.a  NAN
204   -11.180   164.450  12   2008-07-19T11:01:23  6.18  None  20080719_110123.a  NAN
205   -11.120   164.470  14   2008-07-19T09:27:07  6.57  None  20080719_092707.a  NAN
206    37.470   142.420  22   2008-07-19T02:39:34  6.91  None  20080719_023934.a  NAN
207    44.090  -129.560  14   2008-07-17T22:51:57  5.68  None  20080717_225157.a  NAN
208   -30.930  -178.240  108  2008-07-16T17:09:23  5.51  None  20080716_170923.a  NAN
209   -16.670  -172.720  22   2008-07-16T08:11:10  5.66  None  20080716_081110.a  NAN
210   -47.560   -11.930  18   2008-07-15T05:07:18  5.72  None  20080715_050718.a  NAN
211    35.670    27.690  42   2008-07-15T03:26:39  6.39  None  20080715_032639.a  NAN
212     1.830    96.280  29   2008-07-14T04:44:54  5.59  None  20080714_044454.a  NAN
213    21.040   121.050  15   2008-07-13T14:58:36  6.19  None  20080713_145836.a  NAN
214    -2.950   148.080  14   2008-07-11T09:58:49  5.63  None  20080711_095849.a  NAN
215   -16.260   -72.000  126  2008-07-08T09:13:10  6.21  None  20080708_091310.a  NAN
216    27.310   128.650  51   2008-07-08T07:42:13  5.98  None  20080708_074213.a  NAN
217   -16.440  -173.710  128  2008-07-07T04:44:59  5.53  None  20080707_044459.a  NAN
218    45.280   151.260  24   2008-07-06T09:08:26  5.73  None  20080706_090826.a  NAN
219    45.290   151.390  22   2008-07-06T01:00:13  5.72  None  20080706_010013.a  NAN
220    10.260   -60.280  13   2008-07-03T06:34:56  5.69  None  20080703_063456.a  NAN
221   -23.410  -179.690  590  2008-07-03T03:02:41  6.23  None  20080703_030241.a  NAN
222   -58.350   -21.570  12   2008-07-01T01:54:45  5.58  None  20080701_015445.a  NAN
223   -58.330   -21.770  26   2008-06-30T06:17:51  6.96  None  20080630_061751.a  NAN
224    45.120   137.370  328  2008-06-29T20:53:07  5.96  None  20080629_205307.a  NAN
225    35.760    88.440  18   2008-06-29T12:47:31  5.51  None  20080629_124731.a  NAN
226    10.900    91.800  12   2008-06-28T12:54:50  6.07  None  20080628_125450.a  NAN
227    11.090    91.950  12   2008-06-27T13:07:14  5.89  None  20080627_130714.a  NAN
228    10.920    91.820  17   2008-06-27T11:40:19  6.56  None  20080627_114019.a  NAN
229   -21.030  -172.940  57   2008-06-26T21:19:18  6.07  None  20080626_211918.a  NAN
230    -5.520   151.840  47   2008-06-25T15:41:32  5.68  None  20080625_154132.a  NAN
231     1.120    97.000  14   2008-06-25T02:53:29  5.69  None  20080625_025329.a  NAN
232    46.410   153.510  14   2008-06-23T12:32:17  5.57  None  20080623_123217.a  NAN
233    67.710   141.430  22   2008-06-22T23:56:39  6.13  None  20080622_235639.a  NAN
234    -9.030   157.860  14   2008-06-22T07:22:10  5.76  None  20080622_072210.a  NAN
235    36.090    21.860  12   2008-06-21T11:36:28  5.64  None  20080621_113628.a  NAN
236     4.940   -82.620  25   2008-06-17T17:42:14  5.93  None  20080617_174214.a  NAN
237   -36.620  -107.670  22   2008-06-15T08:37:23  6.01  None  20080615_083723.a  NAN
238   -17.770  -179.660  624  2008-06-15T01:13:15  5.93  None  20080615_011315.a  NAN
